Province/State,Country/Region,Lat,Long,Confirmed,Region Name,Death,Recovered,Active
,Afghanistan,33.93911,67.709953,40687,Asia,1507,1507,37673
,Albania,41.1533,20.1683,18556,Europe,469,469,17618
,Algeria,28.0339,1.6596,55630,Africa,1897,1897,51836
,Andorra,42.5063,1.5218,4038,Europe,69,69,3900
,Angola,-11.2027,17.8739,8829,Africa,265,265,8299
,Antigua and Barbuda,17.0608,-61.7964,122,Americas,3,3,116
,Argentina,-38.4161,-63.6167,1069368,Americas,28338,28338,1012692
,Armenia,40.0691,45.0382,73310,Asia,1145,1145,71020
Australian Capital Territory,Australia,-35.4735,149.0124,114,Oceania,3,3,108
New South Wales,Australia,-33.8688,151.2093,4375,Oceania,53,53,4269
Northern Territory,Australia,-12.4634,130.8456,33,Oceania,0,0,33
Queensland,Australia,-27.4698,153.0251,1167,Oceania,6,6,1155
South Australia,Australia,-34.9285,138.6007,487,Oceania,4,4,479
Tasmania,Australia,-42.8821,147.3272,230,Oceania,13,13,204
Victoria,Australia,-37.8136,144.9631,20336,Oceania,817,817,18702
Western Australia,Australia,-31.9505,115.8605,753,Oceania,9,9,735
,Austria,47.5162,14.5501,74415,Europe,954,954,72507
,Azerbaijan,40.1431,47.5769,48221,Asia,656,656,46909
,Bahamas,25.025885,-78.035889,6268,Americas,130,130,6008
,Bahrain,26.0275,50.55,79574,Asia,311,311,78952
,Bangladesh,23.685,90.3563,396413,Asia,5761,5761,384891
,Barbados,13.1939,-59.5432,226,Americas,7,7,212
,Belarus,53.7098,27.9534,91167,Europe,945,945,89277
,Belgium,50.8333,4.469936,287700,Europe,10658,10658,266384
,Belize,17.1899,-88.4976,3050,Americas,46,46,2958
,Benin,9.3077,2.3158,2557,Africa,41,41,2475
,Bhutan,27.5142,90.4336,336,Asia,0,0,336
,Bolivia,-16.2902,-63.5887,140612,Americas,8608,8608,123396
,Bosnia and Herzegovina,43.9159,17.6791,38493,Europe,1065,1065,36363
,Botswana,-22.3285,24.6849,5923,Africa,21,21,5881
,Brazil,-14.235,-51.9253,5353656,Americas,156471,156471,5040714
,Brunei,4.5353,114.7277,148,Asia,3,3,142
,Bulgaria,42.7339,25.4858,36519,Europe,1077,1077,34365
,Burkina Faso,12.2383,-1.5616,2433,Africa,65,65,2303
,Burma,21.9162,95.956,42365,Asia,1038,1038,40289
,Burundi,-3.3731,29.9189,553,Africa,1,1,551
,Cabo Verde,16.5388,-23.0418,8198,Africa,94,94,8010
,Cambodia,11.55,104.9167,287,Asia,0,0,287
,Cameroon,3.848,11.5021,21570,Africa,425,425,20720
Alberta,Canada,53.9333,-116.5765,24261,Americas,300,300,23661
British Columbia,Canada,53.7267,-127.6476,12554,Americas,256,256,12042
Diamond Princess,Canada,0,0,0,,1,1,-2
Grand Princess,Canada,0,0,13,,0,0,13
Manitoba,Canada,53.7609,-98.8139,3935,Americas,48,48,3839
New Brunswick,Canada,46.5653,-66.4619,324,Americas,4,4,316
Newfoundland and Labrador,Canada,53.1355,-57.6604,288,Americas,4,4,280
Northwest Territories,Canada,64.8255,-124.8457,9,Americas,0,0,9
Nova Scotia,Canada,44.682,-63.7443,1097,Americas,65,65,967
Ontario,Canada,51.2538,-85.3232,71140,Americas,3131,3131,64878
Prince Edward Island,Canada,46.5107,-63.4168,64,Americas,0,0,64
Quebec,Canada,52.9399,-73.5491,98226,Americas,6106,6106,86014
Saskatchewan,Canada,52.9399,-106.4509,2591,Americas,25,25,2541
Yukon,Canada,64.2823,-135,17,Americas,0,0,17
,Central African Republic,6.6111,20.9394,4862,Africa,62,62,4738
,Chad,15.4542,18.7322,1423,Africa,96,96,1231
,Chile,-35.6751,-71.543,498906,Americas,13844,13844,471218
Anhui,China,31.8257,117.2264,991,Asia,6,6,979
Beijing,China,40.1824,116.4142,940,Asia,9,9,922
Chongqing,China,30.0572,107.874,589,Asia,6,6,577
Fujian,China,26.0789,117.9874,429,Asia,1,1,427
Gansu,China,35.7518,104.2861,170,Asia,2,2,166
Guangdong,China,23.3417,113.4244,1904,Asia,8,8,1888
Guangxi,China,23.8298,108.7881,260,Asia,2,2,256
Guizhou,China,26.8154,106.8748,147,Asia,2,2,143
Hainan,China,19.1959,109.7453,171,Asia,6,6,159
Hebei,China,39.549,116.1306,368,Asia,6,6,356
Heilongjiang,China,47.862,127.7615,948,Asia,13,13,922
Henan,China,37.8957,114.9042,1283,Asia,22,22,1239
Hong Kong,China,22.3,114.2,5284,Asia,105,105,5074
Hubei,China,30.9756,112.2707,68139,Asia,4512,4512,59115
Hunan,China,27.6104,111.7088,1019,Asia,4,4,1011
Inner Mongolia,China,44.0935,113.9448,275,Asia,1,1,273
Jiangsu,China,32.9711,119.455,670,Asia,0,0,670
Jiangxi,China,27.614,115.7221,935,Asia,1,1,933
Jilin,China,43.6661,126.1923,157,Asia,2,2,153
Liaoning,China,41.2956,122.6085,280,Asia,2,2,276
Macau,China,22.1667,113.55,46,Asia,0,0,46
Ningxia,China,37.2692,106.1655,75,Asia,0,0,75
Qinghai,China,35.7452,95.9956,18,Asia,0,0,18
Shaanxi,China,35.1917,108.8701,444,Asia,3,3,438
Shandong,China,36.3427,118.1498,845,Asia,7,7,831
Shanghai,China,31.202,121.4491,1123,Asia,7,7,1109
Shanxi,China,37.5777,112.2922,209,Asia,0,0,209
Sichuan,China,30.6171,102.7103,733,Asia,3,3,727
Tianjin,China,39.3054,117.323,259,Asia,3,3,253
Tibet,China,31.6927,88.0924,1,Asia,0,0,1
Xinjiang,China,41.1129,85.2401,902,Asia,3,3,896
Yunnan,China,24.974,101.487,211,Asia,2,2,207
Zhejiang,China,29.1832,120.0934,1283,Asia,1,1,1281
,Colombia,4.5709,-74.2973,998942,Americas,29802,29802,939338
,Comoros,-11.6455,43.3333,517,Africa,7,7,503
,Congo (Brazzaville),-0.228,15.8277,5156,Africa,92,92,4972
,Congo (Kinshasa),-4.0383,21.7587,11122,Africa,304,304,10514
,Costa Rica,9.7489,-83.7534,101826,Americas,1265,1265,99296
,Cote d'Ivoire,7.54,-5.5471,20405,Africa,121,121,20163
,Croatia,45.1,15.2,31717,Europe,413,413,30891
,Cuba,21.521757,-77.781167,6479,Americas,128,128,6223
,Cyprus,35.1264,33.4299,3314,Asia,25,25,3264
,Czechia,49.8175,15.473,238323,Europe,1971,1971,234381
Faroe Islands,Denmark,61.8926,-6.9118,490,Europe,0,0,490
Greenland,Denmark,71.7069,-42.6043,17,Americas,0,0,17
,Denmark,56.2639,9.5018,38622,Europe,697,697,37228
,Diamond Princess,0,0,712,,13,13,686
,Djibouti,11.8251,42.5903,5528,Africa,61,61,5406
,Dominica,15.415,-61.371,37,Americas,0,0,37
,Dominican Republic,18.7357,-70.1627,122873,Americas,2212,2212,118449
,Ecuador,-1.8312,-78.1834,158270,Americas,12528,12528,133214
,Egypt,26.820553,30.802498,106230,Africa,6176,6176,93878
,El Salvador,13.7942,-88.8965,32421,Americas,940,940,30541
,Equatorial Guinea,1.6508,10.2679,5074,Africa,83,83,4908
,Eritrea,15.1794,39.7823,461,Africa,0,0,461
,Estonia,58.5953,25.0136,4300,Europe,73,73,4154
,Eswatini,-26.5225,31.4659,5831,Africa,116,116,5599
,Ethiopia,9.145,40.4897,92229,Africa,1400,1400,89429
,Fiji,-17.7134,178.065,33,Oceania,2,2,29
,Finland,61.92411,25.748151,14474,Europe,353,353,13768
French Guiana,France,3.9339,-53.1258,10351,Americas,69,69,10213
French Polynesia,France,-17.6797,149.4068,5797,Oceania,20,20,5757
Guadeloupe,France,16.265,-61.551,7329,Americas,115,115,7099
Martinique,France,14.6415,-61.0242,2257,Americas,24,24,2209
Mayotte,France,-12.8275,45.166244,4276,Africa,44,44,4188
New Caledonia,France,-20.904305,165.618042,27,Oceania,0,0,27
Reunion,France,-21.1151,55.5364,5149,Africa,20,20,5109
Saint Barthelemy,France,17.9,-62.8333,77,Americas,0,0,77
Saint Pierre and Miquelon,France,46.8852,-56.3159,16,Americas,0,0,16
St Martin,France,18.0708,-63.0501,538,Americas,8,8,522
,France,46.2276,2.2137,1048842,Europe,34236,34236,980370
,Gabon,-0.8037,11.6094,8919,Africa,54,54,8811
,Gambia,13.4432,-15.3101,3659,Africa,119,119,3421
,Georgia,42.3154,43.3569,24562,Asia,183,183,24196
,Germany,51.165691,10.451526,426110,Europe,10008,10008,406094
,Ghana,7.9465,-1.0232,47601,Africa,314,314,46973
,Greece,39.0742,21.8243,29057,Europe,559,559,27939
,Grenada,12.1165,-61.679,27,Americas,0,0,27
,Guatemala,15.7835,-90.2308,103902,Americas,3594,3594,96714
,Guinea,9.9456,-9.6966,11635,Africa,71,71,11493
,Guinea-Bissau,11.8037,-15.1804,2403,Africa,41,41,2321
,Guyana,4.860416,-58.93018,3960,Americas,117,117,3726
,Haiti,18.9712,-72.2852,9015,Americas,231,231,8553
,Holy See,41.9029,12.4534,27,Europe,0,0,27
,Honduras,15.2,-86.2419,91509,Americas,2604,2604,86301
,Hungary,47.1625,19.5033,54278,Europe,1352,1352,51574
,Iceland,64.9631,-19.0208,4308,Europe,11,11,4286
,India,20.593684,78.96288,7814682,Asia,117956,117956,7578770
