Province/State,Country/Region,Lat,Long,Confirmed,Region,Death,Recovered,Active,Region
,Afghanistan,33.93911,67.709953,40687,Asia,1507,34010,37673,Asia
,Albania,41.1533,20.1683,18556,Europe,469,10466,17618,Europe
,Algeria,28.0339,1.6596,55630,Africa,1897,38788,51836,Africa
,Andorra,42.5063,1.5218,4038,Europe,69,2729,3900,Europe
,Angola,-11.2027,17.8739,8829,Africa,265,3384,8299,Africa
,Antigua and Barbuda,17.0608,-61.7964,122,Americas,3,107,116,Americas
,Argentina,-38.4161,-63.6167,1069368,Americas,28338,866695,1012692,Americas
,Armenia,40.0691,45.0382,73310,Asia,1145,50276,71020,Asia
Australian Capital Territory,Australia,-35.4735,149.0124,114,Oceania,3,110,108,Oceania
New South Wales,Australia,-33.8688,151.2093,4375,Oceania,53,3145,4269,Oceania
Northern Territory,Australia,-12.4634,130.8456,33,Oceania,0,33,33,Oceania
Queensland,Australia,-27.4698,153.0251,1167,Oceania,6,1157,1155,Oceania
South Australia,Australia,-34.9285,138.6007,487,Oceania,4,473,479,Oceania
Tasmania,Australia,-42.8821,147.3272,230,Oceania,13,217,204,Oceania
Victoria,Australia,-37.8136,144.9631,20336,Oceania,817,19346,18702,Oceania
Western Australia,Australia,-31.9505,115.8605,753,Oceania,9,692,735,Oceania
,Austria,47.5162,14.5501,74415,Europe,954,55195,72507,Europe
,Azerbaijan,40.1431,47.5769,48221,Asia,656,40831,46909,Asia
,Bahamas,25.025885,-78.035889,6268,Americas,130,3795,6008,Americas
,Bahrain,26.0275,50.55,79574,Asia,311,76143,78952,Asia
,Bangladesh,23.685,90.3563,396413,Asia,5761,312065,384891,Asia
,Barbados,13.1939,-59.5432,226,Americas,7,207,212,Americas
,Belarus,53.7098,27.9534,91167,Europe,945,82136,89277,Europe
,Belgium,50.8333,4.469936,287700,Europe,10658,22517,266384,Europe
,Belize,17.1899,-88.4976,3050,Americas,46,1872,2958,Americas
,Benin,9.3077,2.3158,2557,Africa,41,2330,2475,Africa
,Bhutan,27.5142,90.4336,336,Asia,0,306,336,Asia
,Bolivia,-16.2902,-63.5887,140612,Americas,8608,107633,123396,Americas
,Bosnia and Herzegovina,43.9159,17.6791,38493,Europe,1065,26260,36363,Europe
,Botswana,-22.3285,24.6849,5923,Africa,21,927,5881,Africa
,Brazil,-14.235,-51.9253,5353656,Americas,156471,4526393,5040714,Americas
,Brunei,4.5353,114.7277,148,Asia,3,143,142,Asia
,Bulgaria,42.7339,25.4858,36519,Europe,1077,18102,34365,Europe
,Burkina Faso,12.2383,-1.5616,2433,Africa,65,1996,2303,Africa
,Burma,21.9162,95.956,42365,Asia,1038,22445,40289,Asia
,Burundi,-3.3731,29.9189,553,Africa,1,497,551,Africa
,Cabo Verde,16.5388,-23.0418,8198,Africa,94,7034,8010,Africa
,Cambodia,11.55,104.9167,287,Asia,0,283,287,Asia
,Cameroon,3.848,11.5021,21570,Africa,425,20117,20720,Africa
Alberta,Canada,53.9333,-116.5765,24261,Americas,300,180626,23661,Americas
British Columbia,Canada,53.7267,-127.6476,12554,Americas,256,1924,12042,Americas
